Date,Cash,Equity,OpenPositions
2002-03-15,18870.04913140038,53069.76677633027,26
2002-03-18,50466.261222027104,53061.7810689433,2
2002-03-19,50466.261222027104,53028.0296098216,2
2002-03-20,18904.66915614441,52855.47844297722,26
2002-03-21,50146.30445813969,52632.68396282032,2
2002-03-22,21219.961786278043,52513.98442030743,24
2002-03-25,21219.961786278043,52513.98442030743,24
2002-03-26,21219.961786278043,52134.40018845395,24
2002-03-27,21219.961786278043,52379.59914017514,24
2002-03-28,21219.961786278043,52577.743557937894,24
2002-03-29,21219.961786278043,52577.743557937894,24
2002-04-01,21219.961786278043,53272.610862739835,24
2002-04-02,21219.961786278043,53296.91488648251,24
2002-04-03,21219.961786278043,53260.71857024029,24
2002-04-04,21219.961786278043,53728.45359707669,24
2002-04-05,21219.961786278043,53956.85557986096,24
2002-04-08,21219.961786278043,54038.77327729062,24
2002-04-09,21219.961786278043,53670.93394852475,24
2002-04-10,21219.961786278043,53665.019829281126,24
2002-04-11,21219.961786278043,54031.16750765637,24
2002-04-12,21219.961786278043,54096.03110791043,24
2002-04-15,21219.961786278043,53636.613443382535,24
2002-04-16,21219.961786278043,53319.3140745242,24
2002-04-17,53449.40476007298,53449.40476007298,0
2002-04-18,50795.91505242375,53438.83308793095,2
2002-04-19,18839.29671880463,53246.477427451406,26
2002-04-22,18839.29671880463,53074.228306739125,26
2002-04-23,18839.29671880463,53342.644978730474,26
2002-04-24,18839.29671880463,53745.93940898636,26
2002-04-25,18839.29671880463,53536.5609190152,26
2002-04-26,18839.29671880463,53530.321330277715,26
2002-04-29,18839.29671880463,53128.00181361893,26
2002-04-30,18839.29671880463,53700.94550868729,26
2002-05-01,50909.82080714634,53573.628304170874,2
2002-05-02,34850.699530722246,53401.01318133031,26
2002-05-03,50578.31572788103,53171.50929897173,2
2002-05-06,18822.96039836749,53014.553793600644,26
2002-05-07,21375.407187452878,53262.78058718737,24
2002-05-08,21375.407187452878,53441.254939308725,24
2002-05-09,53406.870499601915,53406.870499601915,0
2002-05-10,21589.89034487111,53280.10962249142,24
2002-05-13,21589.89034487111,53335.54836489064,24
2002-05-14,21589.89034487111,53415.015135539594,24
2002-05-15,21589.89034487111,53108.79131223065,24
2002-05-16,21589.89034487111,52864.04876519543,24
2002-05-17,21589.89034487111,52708.98259736401,24
2002-05-20,21589.89034487111,51978.41163898808,24
2002-05-21,21589.89034487111,51239.18122555119,24
2002-05-22,21589.89034487111,51198.22373439175,24
2002-05-23,22625.552949969835,50787.59921986348,23
2002-05-24,22625.552949969835,51639.24874598271,23
2002-05-27,22625.552949969835,51488.601472203794,23
2002-05-28,50596.74155477196,50596.74155477196,0
